shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20177,39.796666,-86.152371,160003
20177,39.797256,-86.152377,160004
20177,39.797256,-86.152377,170001
20177,39.797390,-86.152379,170002
20177,39.797394,-86.152033,170003
20177,39.797398,-86.151681,170004
20177,39.797402,-86.151400,170005
20177,39.797404,-86.151203,170006
20177,39.797408,-86.150883,170007
20177,39.797415,-86.150215,170008
20177,39.797419,-86.149801,170009
20177,39.797422,-86.149745,170010
20177,39.797425,-86.149721,170011
20177,39.797425,-86.149721,180001
20177,39.797429,-86.149690,180002
20177,39.797440,-86.149636,180003
20177,39.797455,-86.149584,180004
20177,39.797483,-86.149509,180005
20177,39.797555,-86.149320,180006
20177,39.797572,-86.149266,180007
20177,39.797584,-86.149209,180008
20177,39.797592,-86.149151,180009
20177,39.797595,-86.149093,180010
20177,39.797599,-86.148742,180011
20177,39.797606,-86.148196,180012
20177,39.797606,-86.148196,190001
20177,39.797610,-86.147952,190002
20177,39.797620,-86.147162,190003
20177,39.797626,-86.146738,190004
20177,39.797629,-86.146516,190005
20177,39.797629,-86.146516,200001
20177,39.797631,-86.146372,200002
20177,39.797641,-86.145582,200003
20177,39.797647,-86.145183,200004
20177,39.797651,-86.144900,200005
20177,39.797655,-86.144756,200006
20177,39.797991,-86.144757,200007
20177,39.797991,-86.144757,210001
20177,39.799314,-86.144761,210002
20177,39.799314,-86.144761,220001
20177,39.799425,-86.144761,220002
20177,39.801167,-86.144769,220003
20177,39.801167,-86.144769,230001
20177,39.801248,-86.144770,230002
20177,39.802929,-86.144779,230003
20177,39.802929,-86.144779,240001
20177,39.803004,-86.144779,240002
20177,39.803073,-86.144776,240003
20177,39.803143,-86.144771,240004
20177,39.804187,-86.144778,240005
20177,39.804187,-86.144778,250001
20177,39.804255,-86.144779,250002
20177,39.805345,-86.144787,250003
20177,39.805345,-86.144787,260001
20177,39.805438,-86.144787,260002
20177,39.805999,-86.144792,260003
20177,39.806784,-86.144798,260004
20177,39.806787,-86.144798,260005
20177,39.806787,-86.144798,270001
20177,39.806883,-86.144794,270002
20177,39.806982,-86.144790,270003
20177,39.807780,-86.144794,270004
20177,39.807832,-86.144796,270005
20177,39.807884,-86.144800,270006
20177,39.808383,-86.144852,270007
20177,39.808539,-86.144873,270008
20177,39.808668,-86.144896,270009
20177,39.808766,-86.144728,270010
20177,39.808828,-86.144626,270011
20177,39.808894,-86.144528,270012
20177,39.808964,-86.144434,270013
20177,39.809036,-86.144345,270014
20177,39.809112,-86.144260,270015
20177,39.809206,-86.144167,270016
20177,39.809303,-86.144080,270017
20177,39.809404,-86.144001,270018
20177,39.809508,-86.143929,270019
20177,39.809615,-86.143865,270020
20177,39.809725,-86.143809,270021
20177,39.809837,-86.143761,270022
20177,39.809951,-86.143721,270023
20177,39.810066,-86.143690,270024
20177,39.810183,-86.143666,270025
20177,39.810300,-86.143652,270026
20177,39.810378,-86.143648,270027
20177,39.810386,-86.143481,270028
20177,39.810397,-86.143339,270029
20177,39.810412,-86.143199,270030
20177,39.810429,-86.143060,270031
20177,39.810604,-86.141828,270032
20177,39.810616,-86.141731,270033
20177,39.810625,-86.141633,270034
20177,39.810859,-86.141643,270035
20177,39.811004,-86.141629,270036
20177,39.811004,-86.141629,280001
20177,39.811231,-86.141607,280002
20177,39.811928,-86.141437,280003
20177,39.813101,-86.141150,280004
20177,39.813101,-86.141150,290001
20177,39.813228,-86.141120,290002
20177,39.814272,-86.140865,290003
20177,39.814272,-86.140865,300001
20177,39.814551,-86.140796,300002
20177,39.814695,-86.140734,300003
20177,39.814933,-86.140445,300004
20177,39.815279,-86.139909,300005
20177,39.815452,-86.139292,300006
20177,39.815452,-86.139292,310001
20177,39.815489,-86.139161,310002
20177,39.815504,-86.139103,310003
20177,39.815515,-86.139045,310004
20177,39.815527,-86.138987,310005
20177,39.815542,-86.138929,310006
20177,39.815734,-86.138270,310007
20177,39.815768,-86.138152,310008
20177,39.815896,-86.137720,310009
20177,39.815896,-86.137720,320001
20177,39.815961,-86.137499,320002
20177,39.816378,-86.136064,320003
20177,39.816388,-86.136031,320004
20177,39.816388,-86.136031,330001
20177,39.816604,-86.135293,330002
20177,39.816942,-86.135137,330003
20177,39.817256,-86.134975,330004
20177,39.817919,-86.134601,330005
20177,39.817919,-86.134601,340001
20177,39.817958,-86.134579,340002
20177,39.817969,-86.134574,340003
